Row	Column	Plate	Product Name	Formula	Product No.	ChEBI Name	SMILES	InChI	InChIKey	formula	ChEBI	KEGG	HMDB	LipidMaps
		1	Acephate	C4H10NO3PS		acephate	CC(=O)NP(=O)(OC)SC	InChI=1S/C4H10NO3PS/c1-4(6)5-9(7,8-2)10-3/h1-3H3,(H,5,6,7)	YASYVMFAVPKPKE-UHFFFAOYSA-N	C4H10NO3PS	CHEBI:34520	C14426		
		1	Azaconazole	C12H11Cl2N3O2		azaconazole	c1cc(c(cc1Cl)Cl)C2(OCCO2)Cn3cncn3	InChI=1S/C12H11Cl2N3O2/c13-9-1-2-10(11(14)5-9)12(18-3-4-19-12)6-17-8-15-7-16-17/h1-2,5,7-8H,3-4,6H2	AKNQMEBLVAMSNZ-UHFFFAOYSA-N	C12H11Cl2N3O2	CHEBI:81898	C18701		
		1	Azinphos-Ethyl	C12H16N3O3PS2		azinphos-ethyl	CCOP(=S)(OCC)SCn1c(=O)c2ccccc2nn1	InChI=1S/C12H16N3O3PS2/c1-3-17-19(20,18-4-2)21-9-15-12(16)10-7-5-6-8-11(10)13-14-15/h5-8H,3-4,9H2,1-2H3	RQVGAIADHNPSME-UHFFFAOYSA-N	C12H16N3O3PS2	CHEBI:38587	C18644		
		1	Buprofezin	C16H23N3OS		(E)-buprofezin	CC(C)N1/C(=N\C(C)(C)C)/SCN(C1=O)C2=CC=CC=C2	InChI=1S/C16H23N3OS/c1-12(2)19-14(17-16(3,4)5)21-11-18(15(19)20)13-9-7-6-8-10-13/h6-10,12H,11H2,1-5H3/b17-14+	PRLVTUNWOQKEAI-SAPNQHFASA-N	C16H23N3OS	CHEBI:39380			
		1	Cymiazol hydrochloride	C12H14N2S		cymiazol	Cc1ccc(c(c1)C)/N=c\2/n(ccs2)C	InChI=1S/C12H14N2S/c1-9-4-5-11(10(2)8-9)13-12-14(3)6-7-15-12/h4-8H,1-3H3/b13-12-	YUAUPYJCVKNAEC-SEYXRHQNSA-N	C12H14N2S				
		1	Cyproconazole	C15H18ClN3O		cyproconazole	CC(C1CC1)C(Cn2cncn2)(c3ccc(cc3)Cl)O	InChI=1S/C15H18ClN3O/c1-11(12-2-3-12)15(20,8-19-10-17-9-18-19)13-4-6-14(16)7-5-13/h4-7,9-12,20H,2-3,8H2,1H3	UFNOUKDBUJZYDE-UHFFFAOYSA-N	C15H18ClN3O	CHEBI:83748			
		1	Diflufenican	C19H11F5N2O2		diflufenican	c1cc(cc(c1)Oc2c(cccn2)C(=O)Nc3ccc(cc3F)F)C(F)(F)F	InChI=1S/C19H11F5N2O2/c20-12-6-7-16(15(21)10-12)26-17(27)14-5-2-8-25-18(14)28-13-4-1-3-11(9-13)19(22,23)24/h1-10H,(H,26,27)	WYEHFWKAOXOVJD-UHFFFAOYSA-N	C19H11F5N2O2	CHEBI:81824	C18549		
		1	Dimethachlor	C13H18ClNO2		dimethachlor	Cc1cccc(c1N(CCOC)C(=O)CCl)C	InChI=1S/C13H18ClNO2/c1-10-5-4-6-11(2)13(10)15(7-8-17-3)12(16)9-14/h4-6H,7-9H2,1-3H3	SCCDDNKJYDZXMM-UHFFFAOYSA-N	C13H18ClNO2	CHEBI:81911	C18718		
		1	Dimoxystrobin	C19H22N2O3		dimoxystrobin	Cc1ccc(c(c1)OCc2ccccc2/C(=N\OC)/C(=O)NC)C	InChI=1S/C19H22N2O3/c1-13-9-10-14(2)17(11-13)24-12-15-7-5-6-8-16(15)18(21-23-4)19(22)20-3/h5-11H,12H2,1-4H3,(H,20,22)/b21-18+	WXUZAHCNPWONDH-DYTRJAOYSA-N	C19H22N2O3	CHEBI:83218			
		1	Disulfoton	C8H19O2PS3		disulfoton	CCOP(=S)(OCC)SCCSCC	InChI=1S/C8H19O2PS3/c1-4-9-11(12,10-5-2)14-8-7-13-6-3/h4-8H2,1-3H3	DOFZAZXDOSGAJZ-UHFFFAOYSA-N	C8H19O2PS3	CHEBI:38661	C18400		
