Row	Column	Plate	Product Name	Formula	Product No.	ChEBI Name	SMILES	InChI	InChIKey	formula	ChEBI	KEGG	HMDB	LipidMaps
1	A	1	Allyl methyl sulfide	C4H8S	A34201	3-(Methylthio)-1-propene	C=CCSC	InChI=1S/C4H8S/c1-3-4-5-2/h3H,1,4H2,2H3	NVLPQIPTCCLBEU-UHFFFAOYSA-N	C4H8S	CHEBI:89856		HMDB0031653	
2	A	1	4-Methyl-5-thiazoleethanol	C6H9NOS	190675	5-(2-hydroxyethyl)-4-methylthiazole	Cc1ncsc1CCO	InChI=1S/C6H9NOS/c1-5-6(2-3-8)9-4-7-5/h4,8H,2-3H2,1H3	BKAWJIRCKVUVED-UHFFFAOYSA-N	C6H9NOS	CHEBI:17957	C04294	HMDB0032985	
3	A	1	p-Coumaric Acid	C9H8O3	20929	trans-4-coumaric acid	OC(=O)\C=C\c1ccc(O)cc1	InChI=1S/C9H8O3/c10-8-4-1-7(2-5-8)3-6-9(11)12/h1-6,10H,(H,11,12)/b6-3+	NGSWKAQJJWESNS-ZZXKWVIFSA-N	C9H8O3	CHEBI:32374	C00811	HMDB0002035	
4	A	1	4-Hydroxyphenylpyruvic acid	C9H8O4	114286	4-hydroxyphenylpyruvic acid	OC(=O)C(=O)Cc1ccc(O)cc1	InChI=1S/C9H8O4/c10-7-3-1-6(2-4-7)5-8(11)9(12)13/h1-4,10H,5H2,(H,12,13)	KKADPXVIOXHVKN-UHFFFAOYSA-N	C9H8O4	CHEBI:15999	C01179	HMDB0000707	
5	A	1	3-hydroxy Lauric Acid	C12H24O3	24642	3-hydroxylauric acid	CCCCCCCCCC(O)CC(O)=O	InChI=1S/C12H24O3/c1-2-3-4-5-6-7-8-9-11(13)10-12(14)15/h11,13H,2-10H2,1H3,(H,14,15)	MUCMKTPAZLSKTL-UHFFFAOYSA-N	C12H24O3	CHEBI:36206			LMFA01050037
6	A	1	13-methyl Myristic Acid	C15H30O2	24811	isopentadecanoic acid	CC(C)CCCCCCCCCCCC(O)=O	InChI=1S/C15H30O2/c1-14(2)12-10-8-6-4-3-5-7-9-11-13-15(16)17/h14H,3-13H2,1-2H3,(H,16,17)	ZOCYQVNGROEVLU-UHFFFAOYSA-N	C15H30O2	CHEBI:39250			LMFA01020009
7	A	1	2-hydroxy Myristic Acid	C14H28O3	90390	(2S)-2-hydroxytetradecanoic acid	C(CCCCCCCC)CCC[C@@H](C(=O)O)O	InChI=1S/C14H28O3/c1-2-3-4-5-6-7-8-9-10-11-12-13(15)14(16)17/h13,15H,2-12H2,1H3,(H,16,17)/t13-/m0/s1	JYZJYKOZGGEXSX-ZDUSSCGKSA-N		CHEBI:85937	C13790		LMFA01050001
8	A	1	15-methyl Palmitic Acid	C17H34O2	24814	isoheptadecanoic acid	CC(C)CCCCCCCCCCCCCC(O)=O	InChI=1S/C17H34O2/c1-16(2)14-12-10-8-6-4-3-5-7-9-11-13-15-17(18)19/h16H,3-15H2,1-2H3,(H,18,19)	IIUXHTGBZYEGHI-UHFFFAOYSA-N	C17H34O2	CHEBI:70850			LMFA01020012
9	A	1	2-Hydroxyhexadecanoic Acid	C16H32O3	A621632	2-hydroxyhexadecanoic acid	CCCCCCCCCCCCCCC(O)C(O)=O	InChI=1S/C16H32O3/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15(17)16(18)19/h15,17H,2-14H2,1H3,(H,18,19)	JGHSBPIZNUXPLA-UHFFFAOYSA-N	C16H32O3	CHEBI:65101			
10	A	1	2-Methyloctadecanoic acid	C19H38O2	653861	2-methyloctadecanoic acid	OC(C(CCCCCCCCCCCCCCCC)C)=O	InChI=1S/C19H38O2/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(2)19(20)21/h18H,3-17H2,1-2H3,(H,20,21)	GBZDALHFANHWOF-UHFFFAOYSA-N	C19H38O2	CHEBI:144310			LMFA01020095
11	A	1	Isoleukotoxin Diol	C18H34O4	I820230	(+/-)12(13)-DiHOME	OC(CCCCC)C(O)CC=CCCCCCCCC(O)=O	InChI=1S/C18H34O4/c1-2-3-10-13-16(19)17(20)14-11-8-6-4-5-7-9-12-15-18(21)22/h8,11,16-17,19-20H,2-7,9-10,12-15H2,1H3,(H,21,22)	CQSLTKIXAJTQGA-UHFFFAOYSA-N	C18H34O4	CHEBI:167825			
12	A	1	Quinine	C20H24N2O2	22620	quinine	[H][C@]1(C[C@@H]2CC[N@]1C[C@@H]2C=C)[C@H](O)c1ccnc2ccc(OC)cc12	InChI=1S/C20H24N2O2/c1-3-13-12-22-9-7-14(13)10-19(22)20(23)16-6-8-21-18-5-4-15(24-2)11-17(16)18/h3-6,8,11,13-14,19-20,23H,1,7,9-10,12H2,2H3/t13-,14-,19-,20+/m0/s1	LOUPRKONTZGTKE-WZBLMQSHSA-N	C20H24N2O2	CHEBI:15854	C06526		
1	B	1	(−)-Cotinine	C10H12N2O	C5923	(-)-cotinine	[H][C@]1(CCC(=O)N1C)c1cccnc1	InChI=1S/C10H12N2O/c1-12-9(4-5-10(12)13)8-3-2-6-11-7-8/h2-3,6-7,9H,4-5H2,1H3/t9-/m0/s1	UIKROCXWUNQSPJ-VIFPVBQESA-	C10H12N2O	CHEBI:68641		HMDB0001046	
2	B	1	3,4-Dihydroxyhydrocinnamic acid	C9H10O4	102601	3-(3,4-dihydroxyphenyl)propanoic acid	OC(=O)CCc1ccc(O)c(O)c1	InChI=1S/C9H10O4/c10-7-3-1-6(5-8(7)11)2-4-9(12)13/h1,3,5,10-11H,2,4H2,(H,12,13)	DZAUWHJDUNRCTF-UHFFFAOYSA-N	C9H10O4	CHEBI:48400	C10447	HMDB0000423	
3	B	1	(±)-3-Hydroxydecanoic acid	C10H20O3	H3648	3-hydroxydecanoic acid	CCCCCCCC(O)CC(O)=O	InChI=1S/C10H20O3/c1-2-3-4-5-6-7-9(11)8-10(12)13/h9,11H,2-8H2,1H3,(H,12,13)	FYSSBMZUBSBFJL-UHFFFAOYSA-N	C10H20O3	CHEBI:132983		HMDB0002203	LMFA01050153
4	B	1	Cyclo(-L-Leu-L-Pro)	C11H18N2O2	CH6371380378	cyclo(L-Leu-L-Pro)	C1C[C@@]2([H])C(N[C@H](C(N2C1)=O)CC(C)C)=O	InChI=1S/C11H18N2O2/c1-7(2)6-8-11(15)13-5-3-4-9(13)10(14)12-8/h7-9H,3-6H2,1-2H3,(H,12,14)/t8-,9-/m0/s1	SZJNCZMRZAUNQT-IUCAKERBSA-N	C11H18N2O2	CHEBI:133094		HMDB0034276	
5	B	1	DL-β-Hydroxymyristic acid	C14H28O3	H4148	3-hydroxytetradecanoic acid	CCCCCCCCCCCC(O)CC(O)=O	InChI=1S/C14H28O3/c1-2-3-4-5-6-7-8-9-10-11-13(15)12-14(16)17/h13,15H,2-12H2,1H3,(H,16,17)	ATRNZOYKSNPPBF-UHFFFAOYSA-N	C14H28O3	CHEBI:85148		HMDB0061656	LMFA01050175
6	B	1	Daidzein	C15H10O4	D7802	daidzein	Oc1ccc(cc1)C2=COc3cc(O)ccc3C2=O	InChI=1S/C15H10O4/c16-10-3-1-9(2-4-10)13-8-19-14-7-11(17)5-6-12(14)15(13)18/h1-8,16-17H	ZQSIJRDFPHDXIC-UHFFFAOYSA-N	C15H10O4	CHEBI:28197	C10208	HMDB0003312	LMPK12050038
7	B	1	γ-CEHC	C15H20O4	89630	gamma-CEHC	O1C(CCC=2C1=C(C(=C(C2)O)C)C)(CCC(=O)O)C	InChI=1S/C15H20O4/c1-9-10(2)14-11(8-12(9)16)4-6-15(3,19-14)7-5-13(17)18/h8,16H,4-7H2,1-3H3,(H,17,18)	VMJQLPNCUPGMNQ-UHFFFAOYSA-N	C15H20O4	CHEBI:89379		HMDB0001931	
8	B	1	DL-β-Hydroxypalmitic acid	C16H32O3	H4398	3-hydroxypalmitic acid	CCCCCCCCCCCCCC(O)CC(O)=O	InChI=1S/C16H32O3/c1-2-3-4-5-6-7-8-9-10-11-12-13-15(17)14-16(18)19/h15,17H,2-14H2,1H3,(H,18,19)	CBWALJHXHCJYTE-UHFFFAOYSA-N	C16H32O3	CHEBI:37248			LMFA01050188
9	B	1	(+)-4-Cholesten-3-one	C27H44O	188174	cholest-4-en-3-one	[H][C@@]12[C@]([C@](CC3)(C)C(CC2)=CC3=O)([H])CC[C@@]4(C)[C@@]1([H])CC[C@]4([H])[C@]([H])(C)CCCC(C)C	InChI=1S/C27H44O/c1-18(2)7-6-8-19(3)23-11-12-24-22-10-9-20-17-21(28)13-15-26(20,4)25(22)14-16-27(23,24)5/h17-19,22-25H,6-16H2,1-5H3/t19-,22+,23-,24+,25+,26+,27-/m1/s1	NYOXRYYXRWJDKP-GYKMGIIDSA-N	C27H44O	CHEBI:16175	C00599	HMDB0000921	LMST01010015
10	B	1	Coprostanol	C27H48O	26764	coprostanol	[C@]1([C@@H](CCCC(C)C)C)([C@]2(CC[C@@]3([C@]4(CC[C@@H](C[C@]4(CC[C@]3([C@@]2(CC1)[H])[H])[H])O)C)[H])C)[H]	InChI=1S/C27H48O/c1-18(2)7-6-8-19(3)23-11-12-24-22-10-9-20-17-21(28)13-15-26(20,4)25(22)14-16-27(23,24)5/h18-25,28H,6-17H2,1-5H3/t19-,20-,21+,22+,23-,24+,25+,26+,27-/m1/s1	QYIXCDOBOSTCEI-NWKZBHTNSA-N	C27H48O	CHEBI:89519		HMDB0000577	LMST01010078
11	B	1	Butyryl-L-carnitine (chloride)	C11H21NO4 (Butyryl-L-carnitine)	26542	O-butanoyl-L-carnitine	CCCC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C	InChI=1S/C11H21NO4/c1-5-6-11(15)16-9(7-10(13)14)8-12(2,3)4/h9H,5-8H2,1-4H3/t9-/m1/s1	QWYFHHGCZUCMBN-SECBINFHSA-N	C11H21NO4	CHEBI:21949		HMDB0002013	LMFA07070003
12	B	1	Arachidonic Acid (sodium salt)	C20H32O2 (free acid)	10006607	arachidonic acid	CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(O)=O	InChI=1S/C20H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22/h6-7,9-10,12-13,15-16H,2-5,8,11,14,17-19H2,1H3,(H,21,22)/b7-6-,10-9-,13-12-,16-15-	YZXBAPSDXZZRGB-DOFZRALJSA-N	C20H32O2	CHEBI:15843	C00219	HMDB0001043	LMFA01030001
1	C	1	N-Hexanoylglycine	C8H15NO3	93544	N-hexanoylglycine	CCCCCC(=O)NCC(O)=O	InChI=1S/C8H15NO3/c1-2-3-4-5-7(10)9-6-8(11)12/h2-6H2,1H3,(H,9,10)(H,11,12)	UPCKIPHSXMXJOX-UHFFFAOYSA-N	C8H15NO3	CHEBI:64390		HMDB0000701	
2	C	1	S-Equol	C15H14O3	SML2147	equol	OC1=CC=C([C@H]2COC3=CC(O)=CC=C3C2)C=C1	InChI=1S/C15H14O3/c16-13-4-1-10(2-5-13)12-7-11-3-6-14(17)8-15(11)18-9-12/h1-6,8,12,16-17H,7,9H2/t12-/m1/s1	ADFCQWZHKCXPAJ-GFCCVEGCSA-N	C15H14O3	CHEBI:34741	C14131	HMDB0002209	LMPK12080003
3	C	1	1,11-Undecanedicarboxylic acid	C13H24O4	U601	tridecanedioic acid	OC(=O)CCCCCCCCCCCC(O)=O	InChI=1S/C13H24O4/c14-12(15)10-8-6-4-2-1-3-5-7-9-11-13(16)17/h1-11H2,(H,14,15)(H,16,17)	DXNCZXXFRKPEPY-UHFFFAOYSA-N	C13H24O4	CHEBI:73718		HMDB0002327	LMFA01170014
4	C	1	16-Hydroxyhexadecanoic acid	C16H32O3	177490	16-hydroxyhexadecanoic acid	OCCCCCCCCCCCCCCCC(O)=O	InChI=1S/C16H32O3/c17-15-13-11-9-7-5-3-1-2-4-6-8-10-12-14-16(18)19/h17H,1-15H2,(H,18,19)	UGAGPNKCDRTDHP-UHFFFAOYSA-N	C16H32O3	CHEBI:55328	C18218	HMDB0006294	LMFA01050051
5	C	1	Hexadecanedioic acid	C16H30O4	177504	hexadecanedioic acid	OC(=O)CCCCCCCCCCCCCCC(O)=O	InChI=1S/C16H30O4/c17-15(18)13-11-9-7-5-3-1-2-4-6-8-10-12-14-16(19)20/h1-14H2,(H,17,18)(H,19,20)	QQHJDPROMQRDLA-UHFFFAOYSA-N	C16H30O4	CHEBI:73722	C19615	HMDB0000672	LMFA01170022
6	C	1	(±)-Enterolactone	C18H18O4	10112	Enterolactone	Oc1cccc(C[C@@H]2COC(=O)[C@H]2Cc3cccc(O)c3)c1	InChI=1S/C18H18O4/c19-15-5-1-3-12(8-15)7-14-11-22-18(21)17(14)10-13-4-2-6-16(20)9-13/h1-6,8-9,14,17,19-20H,7,10-11H2/t14-,17+/m1/s1	HVDGDHBAMCBBLR-PBHICJAKSA-N	C18H18O4	CHEBI:81555	C18165	HMDB0006101	
7	C	1	Hesperetin	C16H14O6	H4125	5,7-dihydroxy-2-(3-hydroxy-4-methoxyphenyl)-3,4-dihydro-2H-1-benzopyran-4-one	COc1ccc(cc1O)C2CC(=O)c3c(O)cc(O)cc3O2	InChI=1S/C16H14O6/c1-21-13-3-2-8(4-10(13)18)14-7-12(20)16-11(19)5-9(17)6-15(16)22-14/h2-6,14,17-19H,7H2,1H3	AIONOLUJZLIMTK-UHFFFAOYSA-N	C16H14O6	CHEBI:95167		HMDB0030746	
8	C	1	11(Z)-Eicosenoic Acid	C20H38O2	20606	(11Z)-icos-11-enoic acid	CCCCCCCC\C=C/CCCCCCCCCC(O)=O	InChI=1S/C20H38O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22/h9-10H,2-8,11-19H2,1H3,(H,21,22)/b10-9-	BITHHVVYSMSWAG-KTKRTIGZSA-N	C20H38O2	CHEBI:32425	C16526	HMDB0002231	LMFA01030085
9	C	1	Decanoyl-L-carnitine	C17H33NO4	91521	O-decanoyl-L-carnitine	O([C@@H](C[N+](C)(C)C)CC([O-])=O)C(CCCCCCCCC)=O	InChI=1S/C17H33NO4/c1-5-6-7-8-9-10-11-12-17(21)22-15(13-16(19)20)14-18(2,3)4/h15H,5-14H2,1-4H3/t15-/m1/s1	LZOSYCMHQXPBFU-OAHLLOKOSA-N	C17H33NO4	CHEBI:28717	C03299 		LMFA07070006
10	C	1	Arachidonoyl Ethanolamide	C22H37NO2	90050	anandamide	CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)NCCO	InChI=1S/C22H37NO2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-22(25)23-20-21-24/h6-7,9-10,12-13,15-16,24H,2-5,8,11,14,17-21H2,1H3,(H,23,25)/b7-6-,10-9-,13-12-,16-15-	LGEQQWMQCRIYKG-DOFZRALJSA-N	C22H37NO2	CHEBI:2700	C11695	HMDB0004080	LMFA08040001
11	C	1	Glycodeoxycholic Acid	C26H43NO5	AC5H3165C491	glycodeoxycholic acid	C1[C@@]2([C@]3(C[C@@H]([C@]4([C@]([C@@]3(CC[C@@]2(C[C@@H](C1)O)[H])[H])(CC[C@@]4([C@@H](CCC(NCC(O)=O)=O)C)[H])[H])C)O)[H])C	InChI=1S/C26H43NO5/c1-15(4-9-23(30)27-14-24(31)32)19-7-8-20-18-6-5-16-12-17(28)10-11-25(16,2)21(18)13-22(29)26(19,20)3/h15-22,28-29H,4-14H2,1-3H3,(H,27,30)(H,31,32)/t15-,16-,17-,18+,19-,20+,21+,22+,25+,26-/m1/s1	WVULKSPCQVQLCU-BUXLTGKBSA-N	C26H43NO5	CHEBI:27471	C05464	HMDB0000631	LMST05030006
12	C	1	Arachidonoyl-L-carnitine (chloride)	C27H45NO4 (free acid)	9000939	arachidonoyl-L-carnitine	O([C@@H](C[N+](C)(C)C)CC([O-])=O)C(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC	InChI=1S/C27H45NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-27(31)32-25(23-26(29)30)24-28(2,3)4/h9-10,12-13,15-16,18-19,25H,5-8,11,14,17,20-24H2,1-4H3/b10-9-,13-12-,16-15-,19-18-/t25-/m1/s1	RBFQHRALHSUPIA-JTPUQHSZSA-N	C27H45NO4	CHEBI:189711			
1	D	1	2-Oxindole	C8H7NO	O9808	indolin-2-one	O=C1Cc2ccccc2N1	InChI=1S/C8H7NO/c10-8-5-6-3-1-2-4-7(6)9-8/h1-4H,5H2,(H,9,10)	JYGFTBXVXVMTGB-UHFFFAOYSA-N	C8H7NO	CHEBI:31697	C12312		
2	D	1	Hydrocinnamic acid	C9H10O2	135232	3-phenylpropionic acid	OC(=O)CCc1ccccc1	InChI=1S/C9H10O2/c10-9(11)7-6-8-4-2-1-3-5-8/h1-5H,6-7H2,(H,10,11)	XMIIGOLPHOKFCH-UHFFFAOYSA-N	C9H10O2	CHEBI:28631	C05629	HMDB0000764	
3	D	1	Nω-Acetylhistamine	C7H11N3O	858897	N-acetylhistamine	CC(=O)NCCc1c[nH]cn1	InChI=1S/C7H11N3O/c1-6(11)9-3-2-7-4-8-5-10-7/h4-5H,2-3H2,1H3,(H,8,10)(H,9,11)	XJWPISBUKWZALE-UHFFFAOYSA-N	C7H11N3O	CHEBI:28483	C05135	HMDB0013253	
4	D	1	3-Indoleacetic acid	C10H9NO2	I3750	indole-3-acetic acid	OC(=O)Cc1c[nH]c2ccccc12	InChI=1S/C10H9NO2/c12-10(13)5-7-6-11-9-4-2-1-3-8(7)9/h1-4,6,11H,5H2,(H,12,13)	SEOVTRFCIGRIMH-UHFFFAOYSA-N	C10H9NO2	CHEBI:16411	C00954	HMDB0000197	
