Row	Column	Plate	Product Name	Formula	Product No.	ChEBI Name	SMILES	InChI	InChIKey	formula	ChEBI	KEGG	HMDB	LipidMaps
A	1	1	β-Nicotinamide adenine dinucleotide hydrate	C21H27N7O14P2	N1636	NAD	NC(=O)c1ccc[n+](c1)[C@@H]1O[C@H](COP([O-])(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2cnc3c(N)ncnc23)[C@@H](O)[C@H]1O	InChI=1S/C21H27N7O14P2/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(32)14(30)11(41-21)6-39-44(36,37)42-43(34,35)38-5-10-13(29)15(31)20(40-10)27-3-1-2-9(4-27)18(23)33/h1-4,7-8,10-11,13-16,20-21,29-32H,5-6H2,(H5-,22,23,24,25,33,34,35,36,37)/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1	BAWFJGJZGIEFAR-NNYOXOHSSA-N	C21H27N7O14P2	CHEBI:44215			
A	2	1	L-Glutamine	C5H10N2O3	G8540	L-glutamine	N[C@@H](CCC(N)=O)C(O)=O	InChI=1S/C5H10N2O3/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H2,7,8)(H,9,10)/t3-/m0/s1	ZDXPYRJPNDTMRX-VKHMYHEASA-N	C5H10N2O3	CHEBI:18050	C00064	HMDB0000641	
A	3	1	Hypotaurine	C2H7NO2S	H1384	hypotaurine	NCCS(O)=O	InChI=1S/C2H7NO2S/c3-1-2-6(4)5/h1-3H2,(H,4,5)	VVIUBCNYACGLLV-UHFFFAOYSA-N	C2H7NO2S	CHEBI:16668	C00519	HMDB0000965	
A	4	1	Citric acid	C6H8O7	251275	citric acid	OC(=O)CC(O)(CC(O)=O)C(O)=O	InChI=1S/C6H8O7/c7-3(8)1-6(13,5(11)12)2-4(9)10/h13H,1-2H2,(H,7,8)(H,9,10)(H,11,12)	KRKNYBCHXYNGOX-UHFFFAOYSA-N	C6H8O7	CHEBI:30769	C00158	HMDB0000094	
A	5	1	L-Threonine	C4H9NO3	89179	L-threonine	C[C@@H](O)[C@H](N)C(O)=O	InChI=1S/C4H9NO3/c1-2(6)3(5)4(7)8/h2-3,6H,5H2,1H3,(H,7,8)/t2-,3+/m1/s1	AYFVYJQAPQTCCC-GBXIJSLDSA-N	C4H9NO3	CHEBI:16857	C00188	HMDB0000167	
A	6	1	Purine	C5H4N4	P55805	7H-purine	c1ncc2[nH]cnc2n1	InChI=1S/C5H4N4/c1-4-5(8-2-6-1)9-3-7-4/h1-3H,(H,6,7,8,9)	KDCGOANMDULRCW-UHFFFAOYSA-N	C5H4N4	CHEBI:17258	C15587	HMDB0001366	
A	7	1	N-Acetylneuraminic acid	C11H19NO9	A0812	aceneuramic acid	CC(=O)N[C@H]([C@@H](O)CC(=O)C(O)=O)[C@@H](O)[C@H](O)[C@H](O)CO	InChI=1S/C11H19NO9/c1-4(14)12-8(5(15)2-6(16)11(20)21)10(19)9(18)7(17)3-13/h5,7-10,13,15,17-19H,2-3H2,1H3,(H,12,14)(H,20,21)/t5-,7+,8+,9+,10+/m0/s1	KBGAYAKRZNYFFG-BOHATCBPSA-N	C11H19NO9	CHEBI:173082			
A	8	1	Pyrimidine	C4H4N2	131695	pyrimidine	c1cncnc1	InChI=1S/C4H4N2/c1-2-5-4-6-3-1/h1-4H	CZPWVGJYEJSRLH-UHFFFAOYSA-N	C4H4N2	CHEBI:16898	C00396		
A	9	1	D-Aspartic acid	C4H7NO4	219096	D-aspartic acid	N[C@H](CC(O)=O)C(O)=O	InChI=1S/C4H7NO4/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H,6,7)(H,8,9)/t2-/m1/s1	CKLJMWTZIZZHCS-UWTATZPHSA-N	C4H7NO4	CHEBI:17364	CHEBI:17364	HMDB0006483	
A	10	1	Cytidine	C9H13N3O5	C122106	cytidine	Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1	InChI=1S/C9H13N3O5/c10-5-1-2-12(9(16)11-5)8-7(15)6(14)4(3-13)17-8/h1-2,4,6-8,13-15H,3H2,(H2,10,11,16)/t4-,6-,7-,8-/m1/s1	UHDGCWIWMRVCDJ-XVFCMESISA-N	C9H13N3O5	CHEBI:17562	C00475		
