Row	Column	Plate	Product Name	Formula	Product No.	ChEBI Name	SMILES	InChI	InChIKey	formula	ChEBI	KEGG	HMDB	LipidMaps
			ADA	C6H10N2O5	26239-55-4	iminodiacetic acid	OC(=O)CNCC(O)=O	InChI=1S/C4H7NO4/c6-3(7)1-5-2-4(8)9/h5H,1-2H2,(H,6,7)(H,8,9)	NBZBKCUXIYYUSX-UHFFFAOYSA-N	C4H7NO4	CHEBI:24786	C19911	HMDB0011753	
			Aminopterin	C19H20N8O5	54-62-6	Aminopterin	NC1=NC2=C(N=C(CNC3=CC=C(C=C3)C(=O)NC(CCC(O)=O)C(O)=O)C=N2)C(N)=N1	InChI=1S/C19H20N8O5/c20-15-14-16(27-19(21)26-15)23-8-11(24-14)7-22-10-3-1-9(2-4-10)17(30)25-12(18(31)32)5-6-13(28)29/h1-4,8,12,22H,5-7H2,(H,25,30)(H,28,29)(H,31,32)(H4,20,21,23,26,27)	TVZGACDUOSZQKY-UHFFFAOYSA-N	C19H20N8O5			HMDB0001833	
H	1	8	Carbocysteine	C5H9NO4S	638-23-3	S-carboxymethyl-L-cysteine	N[C@@H](CSCC(O)=O)C(O)=O	InChI=1S/C5H9NO4S/c6-3(5(9)10)1-11-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)/t3-/m0/s1	GBFLZEXEOZUWRN-VKHMYHEASA-N	C5H9NO4S	CHEBI:16163	C03727	HMDB0029415	
H	10	1	D-Mannosamine HCl	C6H14ClNO5	5505-63-5	aldehydo-D-mannosamine	[H]C(=O)[C@@H](N)[C@@H](O)[C@H](O)[C@H](O)CO	InChI=1S/C6H13NO5/c7-3(1-8)5(11)6(12)4(10)2-9/h1,3-6,9-12H,2,7H2/t3-,4-,5-,6-/m1/s1	FZHXIRIBWMQPQF-KVTDHHQDSA-N	C6H13NO5	CHEBI:27503			
I	7	8	Ganciclovir	C9H13N5O4	82410-32-0	ganciclovir	NC1=NC2=C(N=CN2COC(CO)CO)C(=O)N1	InChI=1S/C9H13N5O4/c10-9-12-7-6(8(17)13-9)11-3-14(7)4-18-5(1-15)2-16/h3,5,15-16H,1-2,4H2,(H3,10,12,13,17)	IRSCQMHQWWYFCW-UHFFFAOYSA-N	C9H13N5O4	CHEBI:465284		HMDB0015139	
			Glycylsarcosine	C5H10N2O3	29816-01-1	glycylsarcosine	OC(=O)CN(C(CN)=O)C	InChI=1S/C5H10N2O3/c1-7(3-5(9)10)4(8)2-6/h2-3,6H2,1H3,(H,9,10)	VYAMLSCELQQRAE-UHFFFAOYSA-N	C5H10N2O3	CHEBI:155876			
G	4	8	N-Methyl-D-glucamine	C7H17NO5	6284-40-8	N-methylglucamine	CNC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO	InChI=1S/C7H17NO5/c1-8-2-4(10)6(12)7(13)5(11)3-9/h4-13H,2-3H2,1H3/t4-,5+,6+,7+/m0/s1	MBBZMMPHUWSWHV-BDVNFPICSA-N	C7H17NO5	CHEBI:59732		HMDB0240291	
J	8	2	Sodium phytate hydrate	C6H6O24P6.Na12	14306-25-3	myo-inositol hexakisphosphate	OP(O)(=O)O[C@H]1[C@H](OP(O)(O)=O)[C@@H](OP(O)(O)=O)[C@H](OP(O)(O)=O)[C@H](OP(O)(O)=O)[C@@H]1OP(O)(O)=O	InChI=1S/C6H18O24P6/c7-31(8,9)25-1-2(26-32(10,11)12)4(28-34(16,17)18)6(30-36(22,23)24)5(29-35(19,20)21)3(1)27-33(13,14)15/h1-6H,(H2,7,8,9)(H2,10,11,12)(H2,13,14,15)(H2,16,17,18)(H2,19,20,21)(H2,22,23,24)/t1-,2-,3-,4+,5-,6-	IMQLKJBTEOYOSI-GPIVLXJGSA-N	C6H18O24P6	CHEBI:17401	C01204	HMDB0003502	
E	8	8	D-(+)-Galactosamine HCl	C6H13NO5.HCl	1772-03-8	aldehydo-D-galactosamine	N[C@@H](C=O)[C@@H](O)[C@@H](O)[C@H](O)CO	InChI=1S/C6H13NO5/c7-3(1-8)5(11)6(12)4(10)2-9/h1,3-6,9-12H,2,7H2/t3-,4+,5+,6-/m0/s1	FZHXIRIBWMQPQF-KCDKBNATSA-N	C6H13NO5	CHEBI:60313			
J	8	5	Ethylenediaminetetraacetic acid	C10H16N2O8	60-00-4	ethylenediaminetetraacetic acid	OC(=O)CN(CCN(CC(O)=O)CC(O)=O)CC(O)=O	InChI=1S/C10H16N2O8/c13-7(14)3-11(4-8(15)16)1-2-12(5-9(17)18)6-10(19)20/h1-6H2,(H,13,14)(H,15,16)(H,17,18)(H,19,20)	KCXVZYZYPLLWCC-UHFFFAOYSA-N	C10H16N2O8	CHEBI:42191	C00284	HMDB0015109	
