Row	Column	Plate	Product Name	Formula	Product No.	ChEBI Name	SMILES	InChI	InChIKey	formula	ChEBI	KEGG	HMDB	LipidMaps
A	1	1	2-Hydroxyisocaproic acid	C6H12O3	219819	2-hydroxy-4-methylvaleric acid	CC(C)CC(C(=O)O)O	InChI=1/C6H12O3/c1-4(2)3-5(7)6(8)9/h4-5,7H,3H2,1-2H3,(H,8,9)	LVRFTAZAXQPQHI-UHFFFAOYNA-N	C6H12O3	CHEBI:59783		HMDB0000665	LMFA01050381
A	2	1	L-α-Hydroxyglutaric acid disodium salt	C5H8O5	90790	(S)-2-hydroxyglutaric acid	O[C@@H](CCC(O)=O)C(O)=O	InChI=1S/C5H8O5/c6-3(5(9)10)1-2-4(7)8/h3,6H,1-2H2,(H,7,8)(H,9,10)/t3-/m0/s1	HWXBTNAVRSUOJR-VKHMYHEASA-N	C5H8O5	CHEBI:32797	C03196		
A	3	1	L-(+)-Tartaric acid	C4H6O6	251380	L-tartaric acid	O[C@H]([C@@H](O)C(O)=O)C(O)=O	InChI=1S/C4H6O6/c5-1(3(7)8)2(6)4(9)10/h1-2,5-6H,(H,7,8)(H,9,10)/t1-,2-/m1/s1	FEWJPZIEWOKRBE-JCYAYHJZSA-N	C4H6O6	CHEBI:15671	C00898		
A	4	1	2-Hydroxyphenylacetic acid	C8H8O3	H49804	(2-hydroxyphenyl)acetic acid	OC(=O)Cc1ccccc1O	InChI=1S/C8H8O3/c9-7-4-2-1-3-6(7)5-8(10)11/h1-4,9H,5H2,(H,10,11)	CCVYRRGZDBSHFU-UHFFFAOYSA-N	C8H8O3	CHEBI:28478	C05852	HMDB0000669	
A	5	1	N-(2-Methylbutyryl)glycine	C7H13NO3	4478	N-(2-methylbutanoyl)glycine	CCC(C)C(=O)NCC(O)=O	InChI=1S/C7H13NO3/c1-3-5(2)7(11)8-4-6(9)10/h5H,3-4H2,1-2H3,(H,8,11)(H,9,10)	HOACIBQKYRHBOW-UHFFFAOYSA-N	C7H13NO3	CHEBI:86366		HMDB0000339	
A	6	1	Disodium (2RS)-2-hydroxyadipate	C6H10O5	92826	2-hydroxyadipic acid	OC(CCCC(O)=O)C(O)=O	InChI=1S/C6H10O5/c7-4(6(10)11)2-1-3-5(8)9/h4,7H,1-3H2,(H,8,9)(H,10,11)	OTTXIFWBPRRYOG-UHFFFAOYSA-N	C6H10O5	CHEBI:17023	C02360		LMFA01170049
A	7	1	3-(4-Hydroxyphenyl)propionic acid	C9H10O3	H52406	phloretic acid	OC(=O)CCc1ccc(O)cc1	InChI=1S/C9H10O3/c10-8-4-1-7(2-5-8)3-6-9(11)12/h1-2,4-5,10H,3,6H2,(H,11,12)	NMHMNPHRMNGLLB-UHFFFAOYSA-N	C9H10O3	CHEBI:32980	C01744	HMDB0002199	
A	8	1	(E)-2-Octenedioic Acid	C8H12O4	O239100	2-Octenedioic acid	OC(=O)CCCC/C=C/C(O)=O	InChI=1S/C8H12O4/c9-7(10)5-3-1-2-4-6-8(11)12/h3,5H,1-2,4,6H2,(H,9,10)(H,11,12)/b5-3+	BNTPVRGYUHJFHN-HWKANZROSA-N	C8H12O4	CHEBI:89192		HMDB0000341	
A	9	1	2-Isopropylmalic acid	C7H12O5	333115	2-isopropylmalic acid	C(C(=O)O)C(C(=O)O)(O)C(C)C	InChI=1S/C7H12O5/c1-4(2)7(12,6(10)11)3-5(8)9/h4,12H,3H2,1-2H3,(H,8,9)(H,10,11)	BITYXLXUCSKTJS-UHFFFAOYSA-N	C7H12O5	CHEBI:28635			
A	10	1	Indole-3-butyric acid	C12H13NO2	57310	indole-3-butyric acid	OC(=O)CCCc1c[nH]c2ccccc12	InChI=1S/C12H13NO2/c14-12(15)7-3-4-9-8-13-11-6-2-1-5-10(9)11/h1-2,5-6,8,13H,3-4,7H2,(H,14,15)	JTEDVYBZBROSJT-UHFFFAOYSA-N	C12H13NO2	CHEBI:33070	C11284	HMDB0002096	
A	11	1	Trisodium 2-methylcitrate, racemic mixture of diastereomers	C7H10O7	59464	2-methylcitric acid	CC(C(O)=O)C(O)(CC(O)=O)C(O)=O	InChI=1S/C7H10O7/c1-3(5(10)11)7(14,6(12)13)2-4(8)9/h3,14H,2H2,1H3,(H,8,9)(H,10,11)(H,12,13)	YNOXCRMFGMSKIJ-UHFFFAOYSA-N	C7H10O7	CHEBI:30835			
A	12	1	Phytic acid sodium salt hydrate	C6H18O24P6	68388	myo-inositol hexakisphosphate	OP(O)(=O)O[C@@H]1[C@H](OP(O)(O)=O)[C@H](OP(O)(O)=O)[C@@H](OP(O)(O)=O)[C@H](OP(O)(O)=O)[C@H]1OP(O)(O)=O	InChI=1S/C6H18O24P6/c7-31(8,9)25-1-2(26-32(10,11)12)4(28-34(16,17)18)6(30-36(22,23)24)5(29-35(19,20)21)3(1)27-33(13,14)15/h1-6H,(H2,7,8,9)(H2,10,11,12)(H2,13,14,15)(H2,16,17,18)(H2,19,20,21)(H2,22,23,24)/t1-,2-,3-,4+,5-,6-	IMQLKJBTEOYOSI-GPIVLXJGSA-N	C6H18O24P6	CHEBI:17401	C01204		
B	1	1	2-Oxobutyric acid	C4H6O3	68217	2-oxobutanoic acid	CCC(=O)C(=O)O	InChI=1S/C4H6O3/c1-2-3(5)4(6)7/h2H2,1H3,(H,6,7)	TYEYBOSBBBHJIV-UHFFFAOYSA-N	C4H6O3	CHEBI:30831	C00109	HMDB0000005	LMFA01060002
