Row	Column	Plate	Product Name	Formula	Product No.	ChEBI Name	SMILES	InChI	InChIKey	formula	ChEBI	KEGG	HMDB	LipidMaps
A	1	1	(−)-α-Pinene	C10H16	274399	(-)-alpha-pinene	CC1=CC[C@H]2C[C@@H]1C2(C)C	InChI=1S/C10H16/c1-7-4-5-8-6-9(7)10(8,2)3/h4,8-9H,5-6H2,1-3H3/t8-,9-/m0/s1	GRWFGVWFFZKLTI-IUCAKERBSA-N	C10H16	CHEBI:28660	C06308		
A	2	1	2-Undecanone	C11H22O	74038	undecan-2-one	CCCCCCCCCC(C)=O	InChI=1S/C11H22O/c1-3-4-5-6-7-8-9-10-11(2)12/h3-10H2,1-2H3	KYWIYKKSMDLRDC-UHFFFAOYSA-N	C11H22O	CHEBI:17700	C01875	HMDB0033713	LMFA12000002
A	3	1	(-)-Bornyl acetate	C12H20O2	B55203	(1S,2R,4S)-(-)-Bornyl acetate	CC(=O)O[C@@H]1CC2CCC1(C)C2(C)C	InChI=1S/C12H20O2/c1-8(13)14-10-7-9-5-6-12(10,4)11(9,2)3/h9-10H,5-7H2,1-4H3/t9?,10-,12?/m1/s1	KGEKLUUHTZCSIP-SQLBVSGCSA-N	C12H20O2	CHEBI:157	C09837		
A	4	1	DL-6,8-Thioctamide	C8H15NOS2	AA003M07	lipoamide	NC(=O)CCCCC1CCSS1	InChI=1S/C8H15NOS2/c9-8(10)4-2-1-3-7-5-6-11-12-7/h7H,1-6H2,(H2,9,10)	FCCDDURTIIUXBY-UHFFFAOYSA-N	C8H15NOS2	CHEBI:17460			
A	5	1	Genistein	C15H10O5	G6649	genistein	OC1=CC=C(C=C1)C1=COC2=C(C(O)=CC(O)=C2)C1=O	InChI=1S/C15H10O5/c16-9-3-1-8(2-4-9)11-7-20-13-6-10(17)5-12(18)14(13)15(11)19/h1-7,16-18H	TZBJGXHYKVUXJN-UHFFFAOYSA-N	C15H10O5	CHEBI:28088	C06563	HMDB0003217	LMPK12050218
A	6	1	(±)-Naringenin	C15H12O5	N5893	naringenin	Oc1ccc(cc1)C1CC(=O)c2c(O)cc(O)cc2O1	InChI=1S/C15H12O5/c16-9-3-1-8(2-4-9)13-7-12(19)15-11(18)5-10(17)6-14(15)20-13/h1-6,13,16-18H,7H2	FTVWIRXFELQLPI-UHFFFAOYSA-N	C15H12O5	CHEBI:50202			
A	7	1	(−)-Catechin	C15H14O6	PHL80992	(-)-catechin	O[C@@H]1Cc2c(O)cc(O)cc2O[C@H]1c1ccc(O)c(O)c1	InChI=1S/C15H14O6/c16-8-4-11(18)9-6-13(20)15(21-14(9)5-8)7-1-2-10(17)12(19)3-7/h1-5,13,15-20H,6H2/t13-,15+/m1/s1	PFTAWBLQPZVEMU-HIFRSBDPSA-N	C15H14O6	CHEBI:33992	C14079		
A	8	1	(-)-Epigallocatechin	C15H14O7	11809	(-)-epigallocatechin	O[C@@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1cc(O)c(O)c(O)c1	InChI=1S/C15H14O7/c16-7-3-9(17)8-5-12(20)15(22-13(8)4-7)6-1-10(18)14(21)11(19)2-6/h1-4,12,15-21H,5H2/t12-,15-/m1/s1	XMOCLSLCDHWDHP-IUODEOHRSA-N	C15H14O7	CHEBI:42255	C12136	HMDB0038361	LMPK12020004
A	9	1	Carnosic acid	C20H28O4	89820	carnosic acid	C1CC([C@]2([C@](C1)(C3=C(CC2)C=C(C(=C3O)O)C(C)C)C(=O)O)[H])(C)C	InChI=1S/C20H28O4/c1-11(2)13-10-12-6-7-14-19(3,4)8-5-9-20(14,18(23)24)15(12)17(22)16(13)21/h10-11,14,21-22H,5-9H2,1-4H3,(H,23,24)/t14-,20+/m0/s1	QRYRORQUOLYVBU-VBKZILBWSA-N	C20H28O4	CHEBI:65585			
A	10	1	Rotenone	C23H22O6	13995	rotenone	[H][C@@]1(CC2=C3O[C@]4([H])COC5=C(C=C(OC)C(OC)=C5)[C@]4([H])C(=O)C3=CC=C2O1)C(C)=C	InChI=1S/C23H22O6/c1-11(2)16-8-14-15(28-16)6-5-12-22(24)21-13-7-18(25-3)19(26-4)9-17(13)27-10-20(21)29-23(12)14/h5-7,9,16,20-21H,1,8,10H2,2-4H3/t16-,20-,21+/m1/s1	JUVIOZPCNVVQFO-HBGVWJBISA-N	C23H22O6	CHEBI:28201	C07593	HMDB0034436	LMPK12060007
